prompt,completion
"Gandhi, share your wisdom:","As such thev are s-qre to catch the intt're~t of all who want to have a recollection of India's freedom movement at its various stages, and others who are interested in the 11fe and work of Mahatmta"
What would Gandhi say?,Gandhi and still others who just need a mental p~'U to stimulate patriotic sentiments
Tell me about truth and love:,': In the end I am grateful to Mr
"Guide me, Gandhi:",Shanti Parkash Kohli who gave me all possible help in 1he compilation of these documents and also in getting the tnartuscript typed
"Your philosophy, Mahatma:","R. L. KHlP:PLE 23rd February, 1947"
"Gandhi, share your wisdom:","71, Royal Park, Lahore TABLE OF CONTENTS 1"
What would Gandhi say?,Gandhi-a SborL Biograpltical Sketch
Tell me about truth and love:,To Every Ex1glishman living in lndia
"Guide me, Gandhi:","'l'o His Royal Highne~os, the Duke of Con· naught 9."
"Your philosophy, Mahatma:",Ultimatum to J...ord Reading 10
"Gandhi, share your wisdom:",Letters to the Inmat~s of Sabarmati Ashram ~· I To Mira Bai'=' ) II General letter t~ all the Inmates 13
What would Gandhi say?,Ill 'fo 'Ba' (:Kasturba Gandhi) IV To L
Tell me about truth and love:,"akshmi, Gandhiji's liUlt' ,1dopted • untouchable ' daugh- ter and other little children tlf the Asbram"
"Guide me, Gandhi:",", • First Rejoinder Second R.Pjoin"
"Your philosophy, Mahatma:",• .• 9 t3 20 26 33 99 44 50 56 68 76 77 78 HI> 81 82 ii CONTENfS 15
"Gandhi, share your wisdom:",To Sir Samuel Ht~are-Sec1etary of State !or India in 19S2 ..
What would Gandhi say?,To Ramsay MacDonald-British Prime Minister in 1932
Tell me about truth and love:,"M A. Jinnah, the PrcsidenL of the Muslim League"
"Guide me, Gandhi:",To Marshal Chiang Kai Sheck- The Chinese Generalissimo
"Your philosophy, Mahatma:",To the People of America 117 21
"Gandhi, share your wisdom:",To Sir Richards 148 MAHATMA GANDHi
What would Gandhi say?,"(A short biographical sketch.) Mohanlal Karamchand Gandhi, now famous as Mahatma Gandhi, was born m the year 1869 in an orthodox Gujerati family known for their loyalty to the various Kathia war States"
Tell me about truth and love:,His father was the Prime Mini~~e~ of Rajkot and his grand father was the Prime Minister of Porbander
"Guide me, Gandhi:","The story goes that on one occasion, consequent to some mtrigues, his grand father was required to take refuge in a neighbouring State, where he saluted the Ruler with his left hand"
"Your philosophy, Mahatma:",On being questioned about it he replied that his right hand was pledged to Porbande1.·
"Gandhi, share your wisdom:","Mahatma Gandhi seems to have inherited his deep rooted religious sense from his mother, who was known to be a lady of simple and pious habits and of deep devotional mind, and was renowned for her regularity m v1s1ting the temple almost daily"
What would Gandhi say?,"Mahatma Gandhi was married at the early age of 12 years to Kasturba and se""*'en years after their ma~riage, at the age of 19 years, he left for England for hi1ther studies in Law"
Tell me about truth and love:,After finishing his stUdies 1(j Famous Letters of Mahatma Gandhi
"Guide me, Gandhi:","It was there, in South Africa, that the seeds €lf his political career were sown"
"Your philosophy, Mahatma:","There were, at that time, .about 1,50,000 Indians in that country, whom Gandhiji fotmd living virtually in a state of semi-slavery, subjected to a pernicious colour bar with many political and social barriers"
"Gandhi, share your wisdom:","His struggle in South Africa for the emancipation of Indians in that country was one of his earliest, encounters with 'White Imperialism'"
What would Gandhi say?,"He fought a valourous campaign of non-violent passive resistance in S. Africa with such a spirit of consistency and sacrifice that the haughty General Smuts had to come round to a settlement with the non-violent In,dian resister"
Tell me about truth and love:,"From S. Africa, Gandhiji returned to India with his faith in British justice greatly shaken"
"Guide me, Gandhi:","In spite of her great sacrifices India was not given the promised Home Rule, and instead of that big crowds of Indian patriots were subjected to indiscri- minate machine-gunr'ling-that was the reward for loyalty to British cause l Conse"
"Your philosophy, Mahatma:",quently a wave of indiltnation ran across the country ; Hindus and Mahatma Gandhi-~'!
"Gandhi, share your wisdom:",11 Muslims joined hands together in their determina- tion to weed out the foreign rule from India
What would Gandhi say?,Gandhiji was sentenced to 6 years' imprisonment
Tell me about truth and love:,"Ten years later he started another campaign for India's freedom, resulting ultimately in a pact between him and the then Viceroy-known as Gandhi-Irwin pact"
"Guide me, Gandhi:",Soon after in response to an invitation from the British diplomats he went to England to present India's case in the Round Table Conference held there at that tilne
"Your philosophy, Mahatma:","He was, however, once again disillusioned by false British pretences"
"Gandhi, share your wisdom:","Everything ended in smoke and the ' lathi' and ~he bullet, and Martial Law ruled, India for the next two years"
What would Gandhi say?,"In 1942 he was in a way the initiator of the August Movement which although put down by British bayonets, will nevertheless go in the annals of Indian political history as a great uprising of a brave people for their own liberation"
Tell me about truth and love:,"Besides politics, social and religious reform are the other interests of Gandhiji's life"
"Guide me, Gandhi:",He has been taking special pains to alleviate thcr sufferings of women and untouchables and has endeavoured his utmost in the direction of brin~in~ about ft new 12 Famous LetteTs of Mahatma Gandhi
"Your philosophy, Mahatma:","Gandhiji in short is a politician, a saint, a social reformer and a consttuctive philosopher all combmed in a frall httl~ person"
"Gandhi, share your wisdom:",LETTER TO LORD CHELMSFORD. (During the perwd of Great War 1 a War Con[ erence was called at Delhi by the British Diplomats to which Mahatma Gandhi was invited
What would Gandhi say?,"One of the reasons for his refusal to join it was that Lokamanya Tilak, Mrs"
Tell me about truth and love:,"Annie Besant and Ali Brothers whom he considered to be very powerful leaders of the country, were not invited"
"Guide me, Gandhi:","After a personal interview with he then Viceroy of India, Gandhiji came round to join the conference"
"Your philosophy, Mahatma:","One of my reasons for absentation and perhaps the strongest was that Lok- amanya Tilak, Mrs"
"Gandhi, share your wisdom:","Besantand the Ali Brother, whom Iregardasamongthe most powerful leaders of pubhc opinion were not invitad to the Conference"
What would Gandhi say?,"I venture to submit that no Government can afford to disregard the leaders, who represent the large masses of the people as these do, even though they may hold views funda- mentally different"
Tell me about truth and love:,At the same time it gives me pleasure to be able ·to say that the views of all parties were permitted to be freely exoressed at the Letter to Lord Chelmsford
"Guide me, Gandhi:",15 Committees of the Conference
"Your philosophy, Mahatma:","For my part, I purposely rehamed from stating my views at the Committee at which I had the honour of servingl or at the Conference itself"
"Gandhi, share your wisdom:",I felt that I could best serve the objects of the Conference by simply tender- mg my support to the resolutions submitted to it and thts I have done without any reservation
What would Gandhi say?,"I recognise that in the hour of its danger we must give, as we have decided to give, ungrudging and unequivocal support to the Empire of which w~ aspire in the near future to be partners in the same sense as the Dominioljl.s Overseas"
Tell me about truth and love:,But it 1s the simple truth that our response is due to the expectation that our goal will be reached all th~ more speedily
"Guide me, Gandhi:","If I could make my countrymen retrace t\J.eir steps I would make them withdraw all the Congress resolutions and not whisper"" Home Rule"" or "" Responsible Government "" during the pendency of the War"
"Your philosophy, Mahatma:","I would make India offer all her able· bodied sons as a sacrifice to the Emptre at its critical moment and I know that India, by this -very act, would become the most favoured partner in the Empir~ and racial distinctions would become a thing of the past"
"Gandhi, share your wisdom:","But practically the whole ot educated India has decided to take a less eHectJve course, and it is no longer possible to say that educated India does not exercise any influence on the 1nasses"
What would Gandhi say?,"I have been coming into most intimate touch with the rai)ats ever since my return from South Africa to India, and I wish to assure you th~t the desire for Home Rule has widely penetrated them"
Tell me about truth and love:,I was present at the sessions of the last Congress and I was a party to the resolution that tull Responsible Government should be granted to British India '~ithin a period to be fixed definitely by a Parlia- mentary Statute
"Guide me, Gandhi:","I adroit that it 1S a bold step to take, but I feel sure that nothing less than a definite visio11 of Home Rule to he realised"
"Your philosophy, Mahatma:",I know that there are many in India who consider no sacrifice- is too Jlreat in order to achieve the end; Letter to Lord Chemlsford
"Gandhi, share your wisdom:","17 :md they ar~ wakeful enough to realise that they nust be equally prepared to sacrifice themselves tor the Empir::: in which they hope and desire to reach tl,eir final status"
What would Gandhi say?,It follows then: that we can but accelerat~ uur' journey to the goal by silently and s1mply devvting out·selves heart and soul to the \Vork of delivering the Empire from the threaten- Ing danger
Tell me about truth and love:,"We much perceive that if we serve to save the Empire, we have tn that very act secured Home Rule"
"Guide me, Gandhi:",it 1s cleat to me that we should give to the Empire every available man for its defence
"Your philosophy, Mahatma:",My intimate intercourse with the rai'Yats convinces me that India has already donated to the Impetial Exchequer beyond her capacity
"Gandhi, share your wisdom:","in making this statement, I am voicing the opinion of the majority of my country men"
What would Gandhi say?,"The conference means for me, and l believe for many o£ us, a definite step in the consecration of ou.r lives to the common cause, but ours is a peculiar position"
Tell me about truth and love:,We are today o~tside the partnership
"Guide me, Gandhi:",Ours is a consecration based on hope o£ better future
"Your philosophy, Mahatma:",r should be untrue to you and to my country if r 18 Famous Letters of Mahatma Gandhi
"Gandhi, share your wisdom:","I do not bargain £or its fulfilment, but you should know that disappointment of hope- means disillusion"
What would Gandhi say?,You have appealed to us to sink domestiC d1fferences
Tell me about truth and love:,"If appeal involves the toleration of tyranny and wrongdoings on the part of officials, I am powerless to tespond"
"Guide me, Gandhi:",In Champaran by resisting an age- long tyranny I have shown the ultimate sovereignty of British Justice
"Your philosophy, Mahatma:","In Kaira, a population that was: cursing the Government now feels that it, and not the Government, is the power when it is prepared to suffer for the truth it represents"
"Gandhi, share your wisdom:","losing its bitterness and is saying to itself that the Government must be a Government for people, fo1 it tolerates orderly and respectful disobedience \V here injustice is felt Thus Champaran and Kaira affairs .are my direct, definite and special contribution to the War"
What would Gandhi say?,Ask me to suspend my activities in that .direction ana you ask me to suspend my life
Tell me about truth and love:,"If I could popularise the \!Se of soul force which is but another name for love for-ce in place of brute force, I ik..raow .that I .could present you with an India that Letter to Lord Chelmsford"
"Guide me, Gandhi:",19 could defy the whole world to its worst
"Your philosophy, Mahatma:","the1efore, I shall discipline myselt to express in my hfe this eternal law of suffering and present it for acceptance to those who care and if I"
"Gandhi, share your wisdom:","take part many other activity, the motive is to show the matchless supedonty of that law"
What would Gandhi say?,"Lastly, I would hke you to ask His Majesty's Mimsters eo g1ve definite assurance about Moham- medan States"
Tell me about truth and love:,I am sure you know that evety Mohammedan 1s deeply interested in them
"Guide me, Gandhi:","As a Hindu, I cannot be indifferent to their cause"
"Your philosophy, Mahatma:","In the most scrupulous regard for the rights of those States and for the Muslim sentiment, as to the places of worship and your just and t1mely treatment of Indian claim to Home Rule, lies the safety of the Empire"
"Gandhi, share your wisdom:","I write this, because I love the English Nation, and I wish to evoke in every Indian the looyalt-, of Engbshmen"
What would Gandhi say?,"ULTIMATUM TO LORD CHELMSFORD. (When the Great War 1 ·was over, a Turkish Peace Treaty was signed at Paris, whereby Turkey was to be .dismembered and only Constantinople with a fringe of teT'ritory for defence purposes was conceded to the Sultan"
Tell me about truth and love:,"During rhe course of the War, Lloyd George the then British"
"Guide me, Gandhi:","Prime Minister had assured the Muslim world tha.t Turke, would not be deprived of the Tich lands of Asia Minor and Thrace, and the above treaty was a cruel violation of these assurances and promises"
"Your philosophy, Mahatma:","The Mussalmans of India were therefo,·e enraged at this' twist' of the British diplomacy"
"Gandhi, share your wisdom:",Mahatama Gandhi at that time gave his full support to the Mu.~lim cause and advised the Mussalmans of India to withdraw their support from the Viceroy's Government
What would Gandhi say?,"At the very earliest stage of the War, even while I was in London organising the Indian Vohi.n- teer Ambulance Corps, I began to interest myself in the Khilafat question"
Tell me about truth and love:,On my arrival in January of 1915 I found the same anxiousness and earnestness among the Mussalmans with whom I came in contact
"Guide me, Gandhi:",Even at that moment I advised my Mussal- man friends not to give way to despair but to express their £ears and their hopes in a disciplined manner 22 Famous Letters of Mahatma Gandhi
"Your philosophy, Mahatma:",terms and Your Excellency's defence of them have given the Mussalmans of India a shock from which it will be difficult for them to 1·ecover
"Gandhi, share your wisdom:",The terms violate the ministerial pledges and utterly disregard Mussalman's sentiments
What would Gandhi say?,"I consider that, as a staunch Hindu wishing to live on terms of the closest friendship with my Mussalman countrymen, I should be an unworthy son of India if I did not stand by them in their hour of trial"
Tell me about truth and love:,Muslim soldier did not :fight to inflict punishment on their own Khalifa or to deprive him of his territories
"Guide me, Gandhi:","M:Y duty to the Empire, to which I owe my loyalty, requires me to resist the cruel violence that has been done to the Mussalman sentiment so far as I am aware"
"Your philosophy, Mahatma:","Mussalmans and Hindus have, as a •whole, ·lost faith in British justice and honour"
"Gandhi, share your wisdom:","23 The report of the majority of the Hunter Committee, Your Excellency's despatch thereon and Mr"
What would Gandhi say?,Montagu's reply have only aggravated the distrust
Tell me about truth and love:,I have not lost faith in such superiority and I am not without hope that somehow or other justice will yet be rendered if we show the requisite capacity for :mffering
"Guide me, Gandhi:","Indeed, my concept10n of that constitution is that it helps only those who are ready to help themselves"
"Your philosophy, Mahatma:",Three courses were open to the 1vf ohammeoans in order to mark their en1ohatic 24 Famous Letters of Mahatma Gandhi
"Gandhi, share your wisdom:",disapproval of the utter injustice tc which His Majesty's ministers have become a party if they have not actually been the prime perpetrators of it
What would Gandhi say?,Not to be a party to the injustice by ceasing to co·operate wlth the Gov- ernment
Tell me about truth and love:,"Your Excellency must be aware that there was a time when the boldest, though also the most thoughtless among the Mussalmans favoured violence and that Hijrat (emigration) has not yet ceased to be a battle-cry"
"Guide me, Gandhi:",I confess that I did not-I did not attempt to-succeed in weaning them from violence on moral grounds but purely on utilitarian grounds
"Your philosophy, Mahatma:","t for the time being at any rate has, however, been to stop violence"
"Gandhi, share your wisdom:","The school of Hijrat has received a ,check if it has not stopped its activity entirely"
What would Gandhi say?,I hold that no repression caul~ have prevented a violent eruption if the neople had Ultimdtum to Lord Chelmsford
Tell me about truth and love:,25 n~3t ptt:sentcd to th..:m a form of direct action in\ olv .mg considerable sacrifice and ensuing success i£ such direct action was largely taken up by the public
"Guide me, Gandhi:","Non-co-operation was the only dignified and constitutional form of such direct action, for it is the right recognised from times immemorial of the subject to refuse to assist a ruler who misrules"
"Your philosophy, Mahatma:",At the same time I admit the non-co-operation practised by the mass of peopl~> is attended with grave risks
"Gandhi, share your wisdom:",But there is yet an escape from non-co-opera- tion
What would Gandhi say?,"But if you cannot see your way to do so, non-co-operation becames a dire necessity"
Tell me about truth and love:,I hope Your Excellency will give those who have accepteO. my advice and myself the credit for being actuated by 11othing less than a stern sense of duty
"Guide me, Gandhi:","I have the honour to remain, Your Excellency's obdt"
"Your philosophy, Mahatma:","(Sd.) M. K. GANDHI. Laburnum Road, Gamdevi, Bombay"
"Gandhi, share your wisdom:",TO EVERY ENGLISHMAN LlVING IN INDIA. (During the fateful period of the non-co-operation movement of the ':fears 1920 and I9.2I Mahatma Gandhi addressed two soul-stirring letters to the Englishmen residing in India
What would Gandhi say?,The coming generations will read these letters wzth immense interest and would bow their heads with reverence to the memory of a great soul-Mahatma Gandhi
Tell me about truth and love:,In these letters the Mahatma laid bare hzs sm­ cerest feelings before the Englishmen
"Guide me, Gandhi:",He made it plain to every Englishman in India that he had no grudge against in-· div&duals
"Your philosophy, Mahatma:","It was the vicious S':JStem of British Imperialism he was fighting and he, in good faith, invited even the Englishmen to join hands with him in the above referred fight agamsc the s:ystem.) JOIN ME IN DESTROYING THIS SYSTEM ."
"Gandhi, share your wisdom:",In my humble opinion no Indian has co-operated with the British Government more than I have for an un- broken period of twenty-nine years of public life in the face of circumstances that might well have turned any other man into a rebel
What would Gandhi say?,I ask you to believe me when I tell you that my co-operation was not based on the fear of the punishments provided by your laws or any other selfish motives
Tell me about truth and love:,"in fulfilment of my promise to Lotd Chelmsfotd at the War Conference in Delhi, I threw myself in such an active recruitmg campaign in Kaira District involving long and trying marches that I had an attack of dysentery which proved almost fatal"
"Guide me, Gandhi:",1 did all this i11 the full belie£ that acts such as mille must gain for my country an equal status in the Empire
"Your philosophy, Mahatma:",So last December I pleaded hard for a trustful co- operation
"Gandhi, share your wisdom:","Lloyd George and its appreciation by you, and ~he condonation of the Punjab atrocities have completely shattered my faith m the good intentions of the Governme11t and the nation which is supporting it"
What would Gandhi say?,"But though my faith in your good intentions 18 gone I recogmse your bravery and I know that: what you will not yteld to justice and reason, you will gladly y1eld to bravery"
Tell me about truth and love:,Exploitation of India's resources for the benefit o£ Great Britain
"Guide me, Gandhi:","An ever~increasing mihtat·y expenditure and a Ci~il Service, the most ex:pensive in the world"
"Your philosophy, Mahatma:",29 Extravagant working of every department in utter disregard of India's poverty
"Gandhi, share your wisdom:","Disarmament and consequent emasculation of a whole nation, lest an armed nation might imperil the lives of a handful of you in our midst"
What would Gandhi say?,"Progressively representative legislation in order to suppress an ever-growing agitation, seeking to give expression to a nation's agony"
Tell me about truth and love:,"Degrading treatmE""nt of Indians residing in your Dominions"
"Guide me, Gandhi:","You know that we are powerless to do tl1at, for you have E""nsured our incapacity to fight in open and honourable battle"
"Your philosophy, Mahatma:",Bravery on the battle-field is thus impossible for us
"Gandhi, share your wisdom:","Non-co-operation means 30 Fomous Letters of Mahatma Gar,dhi"
What would Gandhi say?,nothing less than training in self~sacrifice
Tell me about truth and love:,"Why should we co-operate with you when we know that, by your administration of this great country we are bein"
"Guide me, Gandhi:","and for that matter the Ali Brothers too, from your consideration"
"Your philosophy, Mahatma:","My personality will fail to evoke any response to anti-Muslim cry if I were foolish enough to raise it, as the mag1c name of the Ali Brothers would fail to inspire the Mussalmans with enthusiasm if they were madly to raise an anti-Hindu cry"
"Gandhi, share your wisdom:","People flock in their thousands to listen to us, because we"
What would Gandhi say?,"The Ali Brother were your friends as I \vas, and still am"
Tell me about truth and love:,My religion forbids me to bear any ill-will towards you
"Guide me, Gandhi:",The Ali Brothers \viU certainly draw the sword if they couldt in defence of their religion and their country
"Your philosophy, Mahatma:",But they and I have made common cause with the ~ople of India in their attempt to voice their feelings and to find a remedy for their distress
"Gandhi, share your wisdom:","You are in search of a remedy to suppress this risint ""ebullition of national feelln.l!"
What would Gandhi say?,31 suggest to you that the only way to suppress it is to remove the causes
Tell me about truth and love:,You can compel the Viceroy to retire in favour of a better one ; you can revise your ideas about Sir Michael O'Dwyer and General Dyer
"Guide me, Gandhi:",But this you cannot do w1less you consider every Indian to be in reality your equal and brother
"Your philosophy, Mahatma:","I merely point out to you, as a friend, an honourable solution of a grave problem"
"Gandhi, share your wisdom:","The other solution, namely repression, is open to you"
What would Gandhi say?,The Government has already impri- soned two brave men of Panipat for holding and expressmg their opinions freely
Tell me about truth and love:,One In the Oudh District is-already imprisoned
"Guide me, Gandhi:",Propaganda is • being 32 Famous Letters of Mahatma Gandhi
"Your philosophy, Mahatma:",I InVIte you respectfully to choose the better way and make common cause with the people o£ India whose sslt you are eating
"Gandhi, share your wisdom:",To seek to thwart their a~p1ratinns is disloyalty to the countr)'
What would Gandhi say?,"M.K. GANDHI. TO EVERY ENGLISHMAN LIVINC IN INDIA. SECOND LETTER. j You are as much slaves-as we.' Deat friend, This is the second time I venture to address you"
Tell me about truth and love:,I know that most of you detest non-co-opera- tion
"Guide me, Gandhi:",Some of my Indian friends charge me 'Yith camouflage when I say we need not hate English- men whilst we may hate the system they havt established
"Your philosophy, Mahatma:","Jesus denounced the wickedness ,of the Scribes and the Pharisees, but he did not hate them"
"Gandhi, share your wisdom:","Ht1 did not enunciate this law of love for the n1an and hate for the evil in him for himself only, but h~ taught the doctrine for universal practice"
What would Gandhi say?,Indeed I find it it1 all the scriptures of the world
Tell me about truth and love:,I have discovered that man is superior to the system he 34 Famous Letters of Mahatma Gandhi
"Guide me, Gandhi:",Each one of my country· men in Amritsar on that fateful lOth of April was better than the crowd of which he was a member
"Your philosophy, Mahatma:",He as a man would r.ave declined to kill those innocent English bank managers
"Gandhi, share your wisdom:","But in that crowd, many a man forgot himself"
What would Gandhi say?,Hence it is that an Rnglishman in office is different from an English· man outside
Tell me about truth and love:,It is possible therefore for me to con- demn the system in the strongest terms without considering you to be bad and without imputing bad motives to every Englishman
"Guide me, Gandhi:",I want you there- fore to reciptocate and not impute to me motives whxch you cannot read in the written word
"Your philosophy, Mahatma:",Our corporate li£e is bas- cl on mUtual disttu.st and fear
"Gandhi, share your wisdom:","This you \Vill admit, i""~ To every Englishman living in India"
What would Gandhi say?,A S} seem that is responsible for such a state of things is necessarily satanic
Tell me about truth and love:,"One thousand Indian lives against one English life is a doctrine of dark despair and yet believe me, it was enunciated in l919 by the highest of you in the land"
"Guide me, Gandhi:",self-sacrificing and self-restrained enough for that consummation
"Your philosophy, Mahatma:",But I do ask you to help us in the boycott of foreign cloth and in the anti-drink campaign
"Gandhi, share your wisdom:","The Lancashire cloth, as English historians have shown"
What would Gandhi say?,was forced upon India and her own world-famed manufactures \Vere deliberately and systematically ruined
Tell me about truth and love:,India is therefore at the mercy not only o£ Lancashire but also of Japan
"Guide me, Gandhi:",We send out of India every year sixty crores (more or less) of rupees for cloth
"Your philosophy, Mahatma:",Is it not madness to send cotton outside India and have it manufactured i~to cloth there and shipped to us
"Gandhi, share your wisdom:",• 36 Fa1tl ous Letters of Mahatma Gandhi
What would Gandhi say?,Our women spun fine yarn in their own cottages and supplemented the ea.rnings <.'lf their husbands
Tell me about truth and love:,"Half the race of artistic weavers has died out, and the other half is weaving imported foreign yarn fot want of finer handspun yarn"
"Guide me, Gandhi:",You will perhaps now understand what boyc.:>tt of foreign cloth means to India
"Your philosophy, Mahatma:",If the Government were today to redress the Khilafat and the Pu.njab wrongs and consent to India attaining immediate Swaraj the boycott movement must: still continue
"Gandhi, share your wisdom:","Swaraj means at least the power to conserve Indian industries tha.t are vital to the economic existence of the nation and to prohibit such imports as may interfer, with such existence."
What would Gandhi say?,Agri91lture and hand-spinning are the two lungs of the national body
Tell me about truth and love:,"To ever""} Bnglishma11 Living in India"
"Guide me, Gandhi:",37 This matter does not admit of any waiting
"Your philosophy, Mahatma:",The interests of the foreign manufacturers and the Indian importers cannot be considered when the whole nation is starving for want of a large productive occupation ancillary t:O agriculture
"Gandhi, share your wisdom:",you w ll1 not nustp.ke this for a moven1ent of gcacLal boycoct of fore1gn goods
What would Gandhi say?,"Things other than doth wh1ch can be better made outside Ind1a, she must gracefully receive upon terms ad vamageous to the contracting parties"
Tell me about truth and love:,I am certainly hoping that before ·bng it would be possible for India to co-operate with England on equal terms
"Guide me, Gandhi:",Then will be the titne for exam1ning trade relations
"Your philosophy, Mahatma:",But 1 would like · you to speak out your mind clearly on the .question.
"Gandhi, share your wisdom:",38 Famous Letters of Mahatma Gandhi
What would Gandhi say?,"Under every system of Government, total prolubi- tmn so far as I can see will be ms1sted upon by the nation"
Tell me about truth and love:,You can assist the growth of the ever-rising agitation by throwing in the
"Guide me, Gandhi:","I am, Y out faithful friend, M.K.GANDHI. TO THE YOUNGMEN OF BENGAL. When the Non-co-operation Movement of the years 19201 1921 was in full swing, India needed the services of her youngmen more than ever before"
"Your philosophy, Mahatma:",Congress leaders and Ali Brothers made a joint appeal to the students to leave their studies and to jom the volunteer corps m the1r thousands
"Gandhi, share your wisdom:",In other parts of Indza too stu­ dents joined the Non~co-operation Movement m large numbers
What would Gandhi say?,The following appeal was addressed by Mahatma Gandhi to the youngmen of Bengal in January 192!
Tell me about truth and love:,"-:1:0 Famous Letters of Mahatma Gandh1 The Message of Self~saerifice, Courage and Hope"
"Guide me, Gandhi:","Dear Young Friend-, I have just read an account of your response to the Nation's call"
"Your philosophy, Mahatma:","It has a greater heart, it has more than its share of the spiritual heritage for which our country is specially noted"
"Gandhi, share your wisdom:","You have more imagination, more faith and more emotion chan the rest of India"
What would Gandhi say?,"There is, therefore, no reason why Bengal should not lead now as it had done before now"
Tell me about truth and love:,"You have taken the step, you will not recede"
"Guide me, Gandhi:","You have paused, you have considered"
"Your philosophy, Mahatma:","You held the Congress that delivered to the Nation the message of Non-Co- operation, i.e., of sel£-puttfication, self-sacrifice, cour- age and hope"
"Gandhi, share your wisdom:","The Nagpur Congress ratified, clarified and amplified the first declaration"
What would Gandhi say?,"It was re-delivered in the midst of strife, doubt, and disunion"
Tell me about truth and love:,"It was 1edelivered in the midst of joy, acclamation, and praftically perfect unanimity"
"Guide me, Gandhi:","It was open to you to refuse, or to hesitate, or to respcnd"
"Your philosophy, Mahatma:","You have chosen the better, thouith .from To the Youngmen of Bengal"
"Gandhi, share your wisdom:",41 a wordly w1se standpoint less cautious way
What would Gandhi say?,"But for the evil spell that the existing system of Government and, most of all, this Western education has cast upon us, the question will not be considered as open to argument"
Tell me about truth and love:,Can the brave Arabs 1etain their independence and yet be schooled under the aegis of those who would hold them under bondage
"Guide me, Gandhi:","Is the case different, or if it is different, is it not stronger in our case when we arc called upon to give up schools conducted under the aegis of a Government, which, rightly or wrongly, we ween to bend to our will or destroy"
"Your philosophy, Mahatma:",Brave.cy of the sword they know
"Gandhi, share your wisdom:",Tliey are unconquerable in the art of meetint and 42 Famous Letters of Mahatma Gandhi
What would Gandhi say?,"We propose, therefote, to stertlize their power of inflicting violence by our non-violence"
Tell me about truth and love:,Non-violence is the cornet stone of the edifice of Non-co-operation
"Guide me, Gandhi:","You will, thetefore, not be hasty or ovet-zealous in yout dealings w1th those who may not see eye to eye with you"
"Your philosophy, Mahatma:",Intoletance is a species of violence and there- fore against our creed
"Gandhi, share your wisdom:",Non-v10lent Non-co-opeta- tion 1s an object lesson m democtacy
What would Gandhi say?,"The moment we are able to ensure non-violence, even under circumstances the most provoking that moment we have achieved our end, because that is the mou1ent \Vhen we can offer complete Non-co-operation"
Tell me about truth and love:,Nou-co-operatton deals first with those sens1t1ve classes upon whom the Government has acted so ~uccessfully and who have been lured into the trap consciOusly or unconsciously as the school going youths have been
"Guide me, Gandhi:","When we come to think about it, the sacnfice required is infinitesimal for individuals because the whole is distributed among so many of us"
"Your philosophy, Mahatma:",To suspend your library studies £or one year
"Gandhi, share your wisdom:","If I could infect the whole of the student world with tny :faith, I know that suspension of studies need not extend even to a vear"
What would Gandhi say?,"43 And in the place of your suspended studies, I would urge you to study the methods of bringing about SwataJ as qutetly as possible even within the year of grace"
Tell me about truth and love:,I ptesent you with the SPINNING WHEEL and suggest to you that on tt depends India's econonuc salvation
"Guide me, Gandhi:",But you ate at hbcrty to teject it if you w1sh and go to the college that has been promised to you by Mr
"Your philosophy, Mahatma:",Most of your fellow students in the Nattonal College at Gu]rat have undertaken to giv~ at least four hours to spmning every day
"Gandhi, share your wisdom:",It is no sacnfice to learn a beaut1ful art and to be able to clothe the naked at the same tune
What would Gandhi say?,You have done your duty by withdrawing ±rom Government Colleges
Tell me about truth and love:,I have only showed you th.e easiest and the most profitable way of devotmg the time at your dxsposal
"Guide me, Gandhi:",I fear that the information given to your Royal Highness must have been in its na~re one-sided
"Your philosophy, Mahatma:","I owe it to you, to my friends and myself that I should place before you what I conceive to be the scope of Non-co-operation as followed not only by me but my closest associates such as Messrs"
"Gandhi, share your wisdom:","For me it is no joy and pleasure to be actively associated in the poycott of Your Royal Highness, visit"
What would Gandhi say?,"I have tendered loyal, voluntary assistance to Government for an unbroken period of nearly 30 years in the ful"
Tell me about truth and love:,"It was therefore no sllght thing, for me to su.e""stest to my countrymen 46 Famous Letters of Mahatma Gandhi"
"Guide me, Gandhi:",We are not at war with individual English- men
"Your philosophy, Mahatma:","We do not desire to destroy the system that has emasculated our country in body, mind and soul"
"Gandhi, share your wisdom:","We are deter- mined to battle with all our might against that in English nature which has made O'J?wyerism and Dyersim possible in the Punjab and has resulted in a wanton affront upon Islam, a faith professed by seven crores of your country men"
What would Gandhi say?,"We consider it inconsistent with our self respect any longer to brook the spirit of superiority and dominance, which has systematically ignored and disregarded the senti- ments of thirty crores of innocent people of India on many a vital matter"
Tell me about truth and love:,"therefore, be under subjection to them"
"Guide me, Gandhi:",· To His Royal Highness the Duke of Connaugltt
"Your philosophy, Mahatma:","Your Royal Highness has come, not to end the system I described, but to sustain it by upholding its prestige"
"Gandhi, share your wisdom:",I have the privilege of know- ing him
What would Gandhi say?,"I believe him to be an honest, amiable gentleman, who will not willingly hurt even a fly, but he certainly failed as a ruler"
Tell me about truth and love:,He allowed him- self to be guided by those whose interest it was to support their power
"Guide me, Gandhi:",He is not reading the mind of the Dravidian p1·ovince
"Your philosophy, Mahatma:","Here in Bengal you a1e issuing a certificate of merit to a Governor who is again, from all I have heard, an estimable gentleman but he knows nothing of the heart of Bengal and its yearnings"
